muni_name	muni_code	population
Københavns Kommune	101	63234
Frederiksberg Kommune	147	104305
Ballerup Kommune	151	48602
Brøndby Kommune	153	3509
Dragør Kommune	155	14494
Gentofte Kommune	157	7483
Gladsaxe Kommune	159	69262
Glostrup Kommune	161	23128
Herlev Kommune	163	28953
Albertslund Kommune	165	27731
Hvidovre Kommune	167	53527
Høje-Taastrup Kommune	169	50759
Lyngby-Taarbæk Kommune	173	56214
Rødovre Kommune	175	40652
Ishøj Kommune	183	22989
Tårnby Kommune	185	42989
Vallensbæk Kommune	187	16633
Furesø Kommune	190	40965
Allerød Kommune	201	25633
Fredensborg Kommune	210	40865
Helsingør Kommune	217	62695
Hillerød Kommune	219	51183
Hørsholm Kommune	223	24864
Rudersdal Kommune	230	56728
Egedal Kommune	240	43354
Frederikssund Kommune	250	45223
Halsnæs Kommune	260	31384
Gribskov Kommune	270	41048
Bornholms Kommune	400	39499
Greve Kommune	253	50558
Køge Kommune	259	60979
Roskilde Kommune	265	87914
Solrød Kommune	269	23255
Odsherred Kommune	306	32957
Holbæk Kommune	316	71541
Faxe Kommune	320	36576
Kalundborg Kommune	326	48436
Ringsted Kommune	329	34852
Slagelse Kommune	330	79073
Stevns Kommune	336	22805
Sorø Kommune	340	29881
Lejre Kommune	350	27996
Lolland Kommune	360	41105
Næstved Kommune	370	83143
Guldborgsund Kommune	376	60722
Vordingborg Kommune	390	45566
Middelfart Kommune	410	38853
Assens Kommune	420	40965
Faaborg-Midtfyn Kommune	430	51556
Kerteminde Kommune	440	23812
Nyborg Kommune	450	32009
Odense Kommune	461	204895
Svendborg Kommune	479	58296
Nordfyns Kommune	480	29665
Langeland Kommune	482	12491
Ærø Kommune	492	5964
Haderslev Kommune	510	5567
Billund Kommune	530	26608
Sønderborg Kommune	540	7422
Tønder Kommune	550	37366
Esbjerg Kommune	561	115483
Fanø Kommune	563	3488
Varde Kommune	573	49961
Vejen Kommune	575	42742
Aabenraa Kommune	580	58761
Fredericia Kommune	607	51377
Kolding Kommune	621	93175
Vejle Kommune	630	115748
Horsens Kommune	615	90966
Herning Kommune	657	89127
Holstebro Kommune	661	58591
Lemvig Kommune	665	19722
Struer Kommune	671	21036
Syddjurs Kommune	706	42962
Norddjurs Kommune	707	37089
Favrskov Kommune	710	48397
Odder Kommune	727	22844
Randers Kommune	730	97805
Silkeborg Kommune	740	94026
Samsø Kommune	741	3657
Skanderborg Kommune	746	62678
Aarhus Kommune	751	349983
Ikast-Brande Kommune	756	41369
Ringkøbing-Skjern Kommune	760	56594
Hedensted Kommune	766	46722
Skive Kommune	779	45851
Viborg Kommune	791	96921
Morsø Kommune	773	20247
Thisted Kommune	787	43423
Brønderslev Kommune	810	36304
Frederikshavn Kommune	813	59654
Vesthimmerlands Kommune	820	36727
Læsø Kommune	825	1786
Rebild Kommune	840	30113
Mariagerfjord Kommune	846	418
Jammerbugt Kommune	849	38324
Aalborg Kommune	851	217075
Hjørring Kommune	860	64483
