code	name	original_area
7054	Aldersro,Kbhvn	Aldersrogade, København
7053	Kingo-Samuel,Kbhvn	Mjølnerparken, København
9133	Tingbjerg,København	Tingbjerg/Utterslevhuse, København
7064	Bispebjerg,Kbhvn	Bispeparken, København
7084	Sundby,Kbhvn	Hørgården, København
7085	Taastrup Nkr,H-Taast	Tåstrupgård, Høje-Taastrup
7152	Høje Taastrup,H-Taas	Gadehavegård, Høje-Taastrup
7439	Vestervang,Helsingør	Nøjsomhed/Sydvej, Helsingør
7218	Højelse,Køge	Karlemoseparken, Køge
7275	Tveje Merløse,Holbæk	Agervang, Holbæk
9144	Nørrevangs,Slagelse	Ringparken, Slagelse
7258	Nykøbing,Odsherred	Motalavej, Korsør
9131	Hjallese,Odense	Solbakken mv, Odense
7780	Korsløkke,Odense	Korsløkkeparken Øst, Odense
7782	Fredens,Odense	Vollsmose, Odense
8908	Jerne,Esbjerg	Stengårdsvej, Esbjerg
9087	Hannerup,Fredericia	Korskærparken, Fredericia
8052	Klostersogn,Horsens	Sundparken, Horsens
9116	Simon Peters,Kolding	Munkebo, Kolding and Skovvejen/Skovparken, Kolding
8019	Alderslyst,Silkebg	Resedavej/Nørrevang II, Silkeborg
9097	Gellerup,Aarhus	Skovgårdsparken, Aarhus and Gellerupparken/Toveshøj Aarhus
8125    Hasle,Aarhus	Bispehaven, Aarhus
9092    Nørremarks,Vejle	Finlandsparken, Vejle
8988    Skt Marie,Sønderborg	Nørager/Søstjernevej m.fl, Sønderborg
